species,pu,amount
26,56,120.344883789
26,58,45.167009619
26,84,68.047374561
26,85,9.735624268
26,86,7.803476367
26,111,478.32741748
26,112,34.30779541
26,113,151.423403467
26,139,57.339441699
26,140,151.443190967
10,141,87.267339258
26,141,47.717299463
26,166,56.98042417
26,167,613.055704785
10,168,1101.215673047
26,168,112.729646484
10,170,1482.068724023
26,170,8.597658789
26,194,359.067938086
26,195,284.466835107
10,196,2522.836633594
26,196,50.774081348
10,197,517.411858057
26,197,10.578300684
10,198,4.386967676
26,198,2.031728467
26,221,442.849065869
26,222,498.993725586
10,223,1338.753108398
26,223,58.476916016
10,224,2560.079927393
26,224,148.051208398
10,225,1885.83516416
26,225,55.774072217
26,248,1.967013672
26,249,59.513970117
26,250,80.917047998
26,251,76.098802588
10,252,4113.072341553
26,252,157.912276758
10,253,758.103830957
26,253,0.031383105
26,275,0.171173828
26,276,166.997043945
26,277,256.060492041
26,278,115.405205078
10,279,1403.823577832
26,279,526.438298438
10,280,3854.011107373
26,280,266.075758643
10,281,1535.339507471
26,281,35.801365918
26,303,252.067107275
26,304,152.336215869
26,305,94.327702637
26,306,249.435323584
10,307,434.653493555
26,307,245.382782422
10,308,4148.953336377
26,308,42.812816797
10,309,2950.52057666
26,309,275.657937891
26,331,450.86967959
26,332,217.081543799
26,333,118.177648047
26,334,150.728253662
10,335,428.727079248
26,335,23.256836768
10,336,4156.921938135
26,336,118.563218994
10,337,1546.034495898
26,337,233.269728662
26,358,325.566625439
26,359,289.33172627
26,360,153.391578516
26,361,315.443527979
26,362,214.532471338
10,363,1394.776787646
26,363,135.618834375
10,364,4156.921938184
26,364,317.125889502
10,365,1954.349699463
26,365,57.301839502
11,382,0.595052246
26,386,22.722924268
26,387,343.52532749
26,388,317.165815283
26,389,722.395234229
25,390,74.771624023
26,390,292.510527686
10,391,2640.19458999
25,391,151.045134961
26,391,97.414067578
10,392,4156.921938184
25,392,66.586634131
26,392,268.962605273
10,393,2036.241822119
25,393,66.09903042
26,393,30.439955811
11,409,5.009753271
26,413,64.056621924
26,414,83.916447803
26,415,380.591240869
26,416,237.432314648
26,417,339.694384961
25,418,399.066323486
26,418,53.457939502
10,419,3436.72655127
25,419,337.484534033
26,419,8.402754053
10,420,4156.921938135
25,420,209.299047607
26,420,39.2955479
10,421,251.751497168
25,421,36.162336621
11,437,83.329534521
26,441,29.47816084
26,442,188.71486875
26,443,405.93792002
26,444,101.698509082
25,445,155.732958594
26,445,37.507786865
25,446,377.187075342
10,447,4027.94481377
25,447,355.015673047
10,448,4145.250723193
25,448,384.50485835
10,449,130.236745117
25,449,0.087887012
11,462,52.197131982
11,464,62.856821289
11,465,170.119761475
26,468,66.720242627
17,469,13.010589697
18,469,19.819257959
19,469,0.004225342
26,469,156.910720996
17,470,180.343535791
18,470,96.109560547
26,470,598.685158252
26,471,674.797727686
17,472,0.000400439
18,472,7.765911426
19,472,0.578127002
20,472,5.509823145
25,472,33.818700244
26,472,8.634960596
25,473,521.861157617
10,474,62.524203809
25,474,512.490090381
10,475,4156.921938232
25,475,143.421418799
10,476,3616.700871777
25,476,126.654299805
10,477,175.150086572
25,477,19.854045068
11,489,89.278908691
11,490,12.548104541
11,491,38.637411768
11,492,287.791571094
11,493,160.738432471
26,496,135.338631592
17,497,167.961995898
18,497,183.638590674
19,497,178.294317188
20,497,75.866479639
26,497,250.541378857
17,498,0.28529502
26,498,585.966583154
17,499,203.09253418
18,499,151.976890625
19,499,57.809602637
20,499,111.180452148
25,499,12.672109277
26,499,229.851880078
25,500,364.678411523
25,501,412.813479492
10,502,586.617556689
25,502,594.551490723
10,503,4156.921938184
25,503,206.495158252
10,504,4075.926668799
25,504,309.500047412
10,505,403.336055713
25,505,110.619081299
11,512,16.511028662
11,514,63.10169707
11,516,9.999999805
11,517,111.259043359
13,517,21.468873047
11,518,71.881010498
11,519,366.624678418
11,520,175.172878809
11,521,8.510720898
26,523,180.322267334
17,524,158.06666665
18,524,115.673312061
19,524,263.13662002
20,524,260.408589404
26,524,94.654321973
17,525,7.172236865
18,525,137.705326123
19,525,13.323070605
20,525,7
26,525,1.86703252
17,526,275.45965752
18,526,384.286040967
19,526,56.432155322
20,526,234.510032031
26,526,155.20872207
17,527,189.708044092
18,527,386.089008301
19,527,140.440762646
20,527,181.262901807
25,527,28.106658301
25,528,932.710051855
25,529,433.97588999
10,530,1358.721090039
25,530,174.711011914
10,531,4156.921938135
25,531,127.95507793
10,532,4146.369296484
25,532,76.245581738
10,533,220.839818213
25,533,8.516840186
11,539,70.105780029
11,540,154.331385986
11,541,83.444440137
11,542,276.062103857
11,543,13.342421875
11,544,121.47841748
11,545,239.569401563
12,545,23.255088281
13,545,15.122497412
11,546,436.769087744
11,547,186.377082129
11,548,170.412563721
18,551,0.640388525
19,551,77.843253809
20,551,68.501743604
26,551,101.647565381
17,552,213.879092578
18,552,562.563508057
19,552,261.355830176
20,552,58.41377168
17,553,64.416678809
18,553,520.265704395
19,553,37.413489746
20,553,83.665157275
26,553,9.828832666
17,554,238.05595708
18,554,616.081929639
19,554,185.962121045
20,554,55.369978418
17,555,35.747724463
18,555,214.511815039
19,555,107.52137207
20,555,5.874456689
25,555,206.088845361
25,556,539.375586768
25,557,565.413828223
10,558,1790.956909326
25,558,441.274478711
10,559,4156.921938135
25,559,326.617862549
10,560,4053.085840137
25,560,139.11819873
10,561,94.652517773
10,565,1037.927282813
11,565,12.772731348
11,566,239.914414404
11,567,55.176223633
12,567,6.103313232
11,568,300.179548535
