id1	id2	boundary
3	3	16000.00000
3	30	4000.00000
3	58	4000.00000
30	30	12000.00000
30	58	4000.00000
30	85	4000.00000
56	56	16000.00000
56	84	4000.00000
58	58	4000.00000
58	85	4000.00000
58	86	4000.00000
84	84	8000.00000
85	85	4000.00000
86	86	12000.00000
111	56	4000.00000
111	84	4000.00000
111	111	4000.00000
111	138	4000.00000
111	139	4000.00000
111	166	4000.00000
112	84	4000.00000
112	85	4000.00000
112	112	4000.00000
112	139	4000.00000
112	140	4000.00000
112	167	4000.00000
113	58	4000.00000
113	85	4000.00000
113	86	4000.00000
113	140	4000.00000
113	141	4000.00000
113	168	4000.00000
138	138	16000.00000
138	166	4000.00000
139	84	4000.00000
139	166	4000.00000
139	167	4000.00000
139	194	4000.00000
140	85	4000.00000
140	167	4000.00000
140	168	4000.00000
140	195	4000.00000
141	86	4000.00000
141	141	8000.00000
141	168	4000.00000
141	196	4000.00000
166	166	4000.00000
166	194	4000.00000
166	221	4000.00000
167	194	4000.00000
167	195	4000.00000
167	222	4000.00000
168	195	4000.00000
168	196	4000.00000
168	223	4000.00000
170	170	12000.00000
170	197	4000.00000
170	198	4000.00000
170	225	4000.00000
194	221	4000.00000
194	222	4000.00000
194	249	4000.00000
195	222	4000.00000
195	223	4000.00000
195	250	4000.00000
196	196	4000.00000
196	223	4000.00000
196	224	4000.00000
196	251	4000.00000
197	197	8000.00000
197	224	4000.00000
197	225	4000.00000
197	252	4000.00000
198	198	12000.00000
198	225	4000.00000
198	253	4000.00000
221	221	4000.00000
221	248	4000.00000
221	249	4000.00000
221	276	4000.00000
222	249	4000.00000
222	250	4000.00000
222	277	4000.00000
223	250	4000.00000
223	251	4000.00000
223	278	4000.00000
224	224	4000.00000
224	251	4000.00000
224	252	4000.00000
224	279	4000.00000
225	252	4000.00000
225	253	4000.00000
225	280	4000.00000
248	248	8000.00000
248	275	4000.00000
248	276	4000.00000
248	303	4000.00000
249	276	4000.00000
249	277	4000.00000
249	304	4000.00000
250	277	4000.00000
250	278	4000.00000
250	305	4000.00000
251	278	4000.00000
251	279	4000.00000
251	306	4000.00000
252	279	4000.00000
252	280	4000.00000
252	307	4000.00000
253	253	4000.00000
253	280	4000.00000
253	281	4000.00000
253	308	4000.00000
275	275	12000.00000
275	303	4000.00000
275	330	4000.00000
276	303	4000.00000
276	304	4000.00000
276	331	4000.00000
277	304	4000.00000
277	305	4000.00000
277	332	4000.00000
278	305	4000.00000
278	306	4000.00000
278	333	4000.00000
279	306	4000.00000
279	307	4000.00000
279	334	4000.00000
280	307	4000.00000
280	308	4000.00000
280	335	4000.00000
281	281	8000.00000
281	308	4000.00000
281	309	4000.00000
281	336	4000.00000
303	330	4000.00000
303	331	4000.00000
303	358	4000.00000
304	331	4000.00000
304	332	4000.00000
304	359	4000.00000
305	332	4000.00000
305	333	4000.00000
305	360	4000.00000
306	333	4000.00000
306	334	4000.00000
306	361	4000.00000
307	334	4000.00000
307	335	4000.00000
307	362	4000.00000
308	335	4000.00000
308	336	4000.00000
308	363	4000.00000
309	309	8000.00000
309	336	4000.00000
309	337	4000.00000
309	364	4000.00000
330	330	8000.00000
330	358	4000.00000
330	385	4000.00000
331	358	4000.00000
331	359	4000.00000
331	386	4000.00000
332	359	4000.00000
332	360	4000.00000
332	387	4000.00000
333	360	4000.00000
333	361	4000.00000
333	388	4000.00000
334	361	4000.00000
334	362	4000.00000
334	389	4000.00000
335	362	4000.00000
335	363	4000.00000
335	390	4000.00000
336	363	4000.00000
336	364	4000.00000
336	391	4000.00000
337	337	8000.00000
337	364	4000.00000
337	365	4000.00000
337	392	4000.00000
358	385	4000.00000
358	386	4000.00000
358	413	4000.00000
359	386	4000.00000
359	387	4000.00000
359	414	4000.00000
360	387	4000.00000
360	388	4000.00000
360	415	4000.00000
361	388	4000.00000
361	389	4000.00000
361	416	4000.00000
362	389	4000.00000
362	390	4000.00000
362	417	4000.00000
363	390	4000.00000
363	391	4000.00000
363	418	4000.00000
364	391	4000.00000
364	392	4000.00000
364	419	4000.00000
365	365	8000.00000
365	392	4000.00000
365	393	4000.00000
365	420	4000.00000
382	382	12000.00000
382	409	4000.00000
382	410	4000.00000
382	437	4000.00000
385	385	12000.00000
385	413	4000.00000
386	413	4000.00000
386	414	4000.00000
386	441	4000.00000
387	414	4000.00000
387	415	4000.00000
387	442	4000.00000
388	415	4000.00000
388	416	4000.00000
388	443	4000.00000
389	416	4000.00000
389	417	4000.00000
389	444	4000.00000
390	417	4000.00000
390	418	4000.00000
390	445	4000.00000
391	418	4000.00000
391	419	4000.00000
391	446	4000.00000
392	419	4000.00000
392	420	4000.00000
392	447	4000.00000
393	393	8000.00000
393	420	4000.00000
393	421	4000.00000
393	448	4000.00000
407	407	16000.00000
407	434	4000.00000
407	462	4000.00000
409	409	12000.00000
